C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/25/2020,03:00:00,REGULAR,0007356095,0002493703                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/25/2020,07:00:00,REGULAR,0007356105,0002493714                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/25/2020,11:00:00,REGULAR,0007356170,0002493761                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/25/2020,15:00:00,REGULAR,0007356333,0002493812                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/25/2020,19:00:00,REGULAR,0007356581,0002493862                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/25/2020,23:00:00,REGULAR,0007356730,0002493891                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/26/2020,03:00:00,REGULAR,0007356770,0002493906                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/26/2020,07:00:00,REGULAR,0007356776,0002493910                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/26/2020,11:00:00,REGULAR,0007356826,0002493953                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/26/2020,15:00:00,REGULAR,0007356974,0002493994                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/26/2020,19:00:00,REGULAR,0007357202,0002494051                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/26/2020,23:00:00,REGULAR,0007357340,0002494073                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/27/2020,03:00:00,REGULAR,0007357364,0002494077                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/27/2020,07:00:00,REGULAR,0007357372,0002494122                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/27/2020,11:00:00,REGULAR,0007357501,0002494368                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/27/2020,15:00:00,REGULAR,0007357715,0002494420                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/27/2020,19:00:00,REGULAR,0007358463,0002494480                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/27/2020,23:00:00,REGULAR,0007358737,0002494508                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/28/2020,03:00:00,REGULAR,0007358771,0002494515                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/28/2020,07:00:00,REGULAR,0007358783,0002494560                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/28/2020,11:00:00,REGULAR,0007358933,0002494815                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/28/2020,15:00:00,REGULAR,0007359125,0002494879                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/28/2020,19:00:00,REGULAR,0007359816,0002494953                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/28/2020,23:00:00,REGULAR,0007360060,0002494981                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/29/2020,03:00:00,REGULAR,0007360086,0002494987                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/29/2020,07:00:00,REGULAR,0007360098,0002495041                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/29/2020,11:00:00,REGULAR,0007360208,0002495319                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/29/2020,15:00:00,REGULAR,0007360389,0002495393                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/29/2020,19:00:00,REGULAR,0007361119,0002495453                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/29/2020,23:00:00,REGULAR,0007361355,0002495494                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/30/2020,03:00:00,REGULAR,0007361389,0002495504                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/30/2020,07:00:00,REGULAR,0007361398,0002495560                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/30/2020,11:00:00,REGULAR,0007361505,0002495835                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/30/2020,15:00:00,REGULAR,0007361719,0002495918                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/30/2020,19:00:00,REGULAR,0007362404,0002496004                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/30/2020,23:00:00,REGULAR,0007362672,0002496048                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/31/2020,03:00:00,REGULAR,0007362707,0002496059                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/31/2020,07:00:00,REGULAR,0007362720,0002496101                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/31/2020,11:00:00,REGULAR,0007362832,0002496350                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/31/2020,15:00:00,REGULAR,0007363054,0002496433                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/31/2020,19:00:00,REGULAR,0007363791,0002496512                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,01/31/2020,23:00:00,REGULAR,0007364037,0002496554                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/25/2020,03:00:00,REGULAR,0006536022,0001469554                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/25/2020,07:00:00,REGULAR,0006536027,0001469559                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/25/2020,11:00:00,REGULAR,0006536081,0001469592                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/25/2020,15:00:00,REGULAR,0006536204,0001469607                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/25/2020,19:00:00,REGULAR,0006536407,0001469634                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/25/2020,23:00:00,REGULAR,0006536525,0001469645                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/26/2020,03:00:00,REGULAR,0006536576,0001469656                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/26/2020,07:00:00,REGULAR,0006536583,0001469661                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/26/2020,11:00:00,REGULAR,0006536628,0001469688                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/26/2020,15:00:00,REGULAR,0006536727,0001469715                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/26/2020,19:00:00,REGULAR,0006536920,0001469766                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/26/2020,23:00:00,REGULAR,0006537009,0001469792                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/27/2020,03:00:00,REGULAR,0006537025,0001469807                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/27/2020,07:00:00,REGULAR,0006537032,0001469840                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/27/2020,11:00:00,REGULAR,0006537155,0001469962                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/27/2020,15:00:00,REGULAR,0006537297,0001469998                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/27/2020,19:00:00,REGULAR,0006537871,0001470053                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/27/2020,23:00:00,REGULAR,0006538050,0001470085                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/28/2020,03:00:00,REGULAR,0006538073,0001470093                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/28/2020,07:00:00,REGULAR,0006538077,0001470113                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/28/2020,11:00:00,REGULAR,0006538212,0001470283                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/28/2020,15:00:00,REGULAR,0006538417,0001470336                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/28/2020,19:00:00,REGULAR,0006538999,0001470379                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/28/2020,23:00:00,REGULAR,0006539198,0001470406                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/29/2020,03:00:00,REGULAR,0006539227,0001470411                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/29/2020,07:00:00,REGULAR,0006539240,0001470431                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/29/2020,11:00:00,REGULAR,0006539375,0001470568                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/29/2020,15:00:00,REGULAR,0006539540,0001470617                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/29/2020,19:00:00,REGULAR,0006540137,0001470693                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/29/2020,23:00:00,REGULAR,0006540366,0001470716                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/30/2020,03:00:00,REGULAR,0006540403,0001470723                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/30/2020,07:00:00,REGULAR,0006540412,0001470749                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/30/2020,11:00:00,REGULAR,0006540548,0001470897                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/30/2020,15:00:00,REGULAR,0006540749,0001470939                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/30/2020,19:00:00,REGULAR,0006541308,0001470999                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/30/2020,23:00:00,REGULAR,0006541564,0001471051                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/31/2020,03:00:00,REGULAR,0006541596,0001471054                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/31/2020,07:00:00,REGULAR,0006541609,0001471072                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/31/2020,11:00:00,REGULAR,0006541753,0001471206                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/31/2020,15:00:00,REGULAR,0006541969,0001471261                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/31/2020,19:00:00,REGULAR,0006542567,0001471317                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/31/2020,23:00:00,REGULAR,0006542824,0001471333                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/25/2020,03:00:00,REGULAR,0001347863,0005085978                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/25/2020,07:00:00,REGULAR,0001347865,0005086007                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/25/2020,11:00:00,REGULAR,0001347881,0005086225                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/25/2020,15:00:00,REGULAR,0001347947,0005086481                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/25/2020,19:00:00,REGULAR,0001348041,0005086758                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/25/2020,23:00:00,REGULAR,0001348120,0005086891                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/26/2020,03:00:00,REGULAR,0001348140,0005086946                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/26/2020,07:00:00,REGULAR,0001348142,0005086965                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/26/2020,11:00:00,REGULAR,0001348162,0005087110                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/26/2020,15:00:00,REGULAR,0001348226,0005087382                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/26/2020,19:00:00,REGULAR,0001348343,0005087662                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/26/2020,23:00:00,REGULAR,0001348410,0005087808                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/27/2020,03:00:00,REGULAR,0001348421,0005087829                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/27/2020,07:00:00,REGULAR,0001348424,0005087956                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/27/2020,11:00:00,REGULAR,0001348464,0005088745                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/27/2020,15:00:00,REGULAR,0001348528,0005089068                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/27/2020,19:00:00,REGULAR,0001348784,0005089635                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/27/2020,23:00:00,REGULAR,0001348877,0005089854                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/28/2020,03:00:00,REGULAR,0001348905,0005089874                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/28/2020,07:00:00,REGULAR,0001348907,0005090001                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/28/2020,11:00:00,REGULAR,0001348975,0005090814                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/28/2020,15:00:00,REGULAR,0001349061,0005091102                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/28/2020,19:00:00,REGULAR,0001349328,0005091632                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/28/2020,23:00:00,REGULAR,0001349441,0005091842                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/29/2020,03:00:00,REGULAR,0001349462,0005091864                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/29/2020,07:00:00,REGULAR,0001349467,0005091989                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/29/2020,11:00:00,REGULAR,0001349521,0005092870                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/29/2020,15:00:00,REGULAR,0001349591,0005093205                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/29/2020,19:00:00,REGULAR,0001349876,0005093785                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/29/2020,23:00:00,REGULAR,0001349982,0005094015                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/30/2020,03:00:00,REGULAR,0001350002,0005094042                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/30/2020,07:00:00,REGULAR,0001350005,0005094155                                            
